powered_by,Powered by
hello,Hello!
lets_get_started,Cominciamo!
we_will_guide_you_1,Segui i passaggi per avere
we_will_guide_you_2,la migliore esperienza.
,
,
errors_modal_title,Errore di connessione
errors_printer_status,
Disconnected,Connessione non riuscita.
Connecting,
Error,
errors_modal_disconnected,Verifica la connessione e riavvia la stampante.
,
,
warnings_modal_title,Importante
warnings_modal_ok,Ok
,
,
setup_internet,Seleziona Avanti per impostare internet.
download_updates,Seleziona Avanti per aggiornare il software.
connect_to_the_cloud,Seleziona Avanti per connetterti alla Cloud.
load_filament,Seleziona Avanti per caricare filamento o Ignora.
onboarding_skip,Ignora
onboarding_next,Avanti
,
,
home_title,Home
home_print,Stampa
home_settings,Configurazione
home_message_1,Ciao{} sono pronta a stampare.
home_message_2,Visita https://cloud.smart3d.tech per stampare.
,
files_title,File
files_intro,Selezionare l'oggetto da stampare.
files_pendrive,Chiave USB
files_samples,File di esempio
files_calibration,Oggetti di calibrazione
loadingFiles,
nofilesfound,Nessun file trovato
,
mcontrol_title,Controllo manuale
prepprint_leftnozzle,
prepprint_rightnozzle,
manualcontrol_buildplate,Piatto di stampa
kodak_filament,Filamenti KODAK
other_filament,Altri filamenti
manualcontrol_extruders,Estrusori
manualcontrol_light,Leds
platform,
,
config_title,Configurazione
config_internet,Internet
config_filaments,Filamenti
config_extras,Extra
back,Indietro
config_calibration,Calibrazione
config_cloud,Cloud
,
,
filaments_menu_title,Filamenti
filaments_menu_load,Caricando filamento
filaments_menu_unload,Scarica filamento
filament_auto_load_message,La procedura é automatica. Attenderne la fine e tornare allo schermo precedente. 
filament_auto_load_instruction,Inserisci il filamento nell'Estrusore {} sul retro della stampante sollevandone la leva.
filament_auto_load,Carica filamento
filament_auto_unload,Scarica filamento
confirm_filament,Sei sicuro di voler interrompere l'operazione?
,
filamentsetup_title,Imposta filamento
add_filament,Nuovo filamento
filament_name,Nome
filament_temp,Temp. filamento (°C)
bed_temp,Temp. piatto (°C)
is_KODAK,È KODAK?
