powered_by, Dostarczone przez
hello, Witaj!
lets_get_started, Zaczynamy!
we_will_guide_you_1, Poprowadzimy Cię, abyś osiągnął
we_will_guide_you_2, najlepsze możliwe rezultaty.

errors_modal_title, Błąd połączenia
errors_printer_status, 
Disconnected, Nie można nawiązać połączenia.
Connecting, 
Error, 
errors_modal_disconnected, Sprawdź połączenie sieciowe i zrestartuj drukarkę.

warnings_modal_title, Ważne
warnings_modal_ok, OK


setup_internet, Kliknij Dalej aby skonfigurować połączenie Internetowe.

download_updates, Kliknij Dalej aby sprawdzić czy są dostępne aktualizacje.

connect_to_the_cloud, Kliknij Dalej aby połączyć się z Chmurą.

load_filament, Kliknij Dalej jeśli chcesz teraz załadować filament, lub Pomiń aby załadować go później.
onboarding_skip, Pomiń
onboarding_next, Dalej

home_title, Home
home_print, Drukuj
home_settings, Ustawienia
home_message_1, Witaj{} drukarka jest gotowa do pracy.
home_message_2, Proszę wejść na https://cloud.smart3d.tech aby rozpocząć drukowanie.

files_title, Pliki
files_intro, Wybierz model do wydrukowania.
files_pendrive, Dysk USB
files_samples, Pliki lokalne
files_calibration, Pliki kalibracyjne
loadingFiles, 
nofilesfound, Nie znaleziono plików

mcontrol_title, Sterowanie ręczne
prepprint_leftnozzle, 
prepprint_rightnozzle, 
manualcontrol_buildplate, Platforma drukowania
kodak_filament, Filamenty KODAK
other_filament, Inne filamenty
manualcontrol_extruders, Ekstrudery
manualcontrol_light, Oświetlenie
platform, 

config_title, Ustawienia
config_internet, Internet

config_filaments, Filamenty
config_extras, Dodatki
back, Cofnij
config_calibration, Kalibracja
config_cloud, Chmura

filaments_menu_title, Filamenty
filaments_menu_load, Załóż filament
filaments_menu_unload, Wyjmij filament

filamentsetup_title, Ustawienia filamentu
add_filament, Nowy filament
filament_name, Nazwa
filament_temp, Temp. drukowania (°C)
bed_temp, Temp. platformy (°C)
is_KODAK, Czy to jest filament KODAK?
f_true, Tak
f_false, Nie
newfilament_failure, Nie można utworzyć nowego filamentu. Spróbuj ponownie.
filament_confirm_delete, Czy na pewno usunąć ten filament?
filament_delete, Usuwanie filamentu

extruder, Ekstruder
extruder_loaded, Załadowane
filaments_heating, Nagrzewanie. Proszę czekać...
filaments_extruding, Czekam na wypływ filamentu...
filaments_extruding_info, Upewnij się, że materiał jest wciągany przez drukarkę. Naciśnij Dalej gdy zobaczysz filament wypływający z dyszy.
filaments_clean, Usuń resztki materiału.
filaments_clean_info, Materiał powinien teraz wypływać.
loading_filaments_select, Wybierz typ materiału który ładujesz.
filaments_heating_extruder, Nagrzewanie hotendu
filaments_please_wait, Proszę czekać.
filaments_done, Zrobione
filaments_retracting, Czekam na wysunięcie.
filaments_retracting_info, Upewnij się, że filament jest wysuwany.
filaments_released, Proszę zdjąć szpulę filamentu z wieszaka.
filaments_released_info, Filament powinien być teraz wysunięty.
filaments_retracting_extruder, Cofanie filamentu

network_title, Sieć
network_password, Hasło
network_connect_failure, Połączenie nie udało się (nieprawidłowe hasło?)
connect_modal_title, Połączenie sieciowe
connected, Połączono
forget, Zapomnij
connect_cancel, Anuluj
connect, Połącz
connecting, Łączenie...
network_choose, Wybierz sieć

language_title, Język
language_intro, Wybierz język interfejsu:
es, Español
en, English
fr, Français
de, Deutsche
it, Italiano
pl, Polski
pt, Portuguese

calibration_title, Kalibracja
calibration_z_offset, Kalibracja osi Z
calibration_z_probe, Kalibracja platformy drukowania
calibration_nozzle, Kalibracja odległości dyszy od stołu
calibration_offset_z, Przesunięcie w osi Z
calibration_probe_triggered, Czujnik został aktywowany
calibration_saving, Zapisywanie...
calibration_save, Zapisz
calibration_offset_x, Przesunięcie w osi X
calibration_offset_y, Przesunięciw w osi Y
instructions_modal_title_Zoffset, Podnieś palatformę aż dotknie dyszy.
instructions_modal_title_Cal25step1, Poczekaj, aż głowica zatrzyma się na środku osi.
instructions_modal_title_Cal25step2, Podnoś platformę za pomocą klawiszy ze strzałkami aż dotknie dyszy. 
instructions_modal_text_Cal25_continue, Kontynuuj
calibration_buildplate_step1, Krok 2
calibration_buildplate_step2, Krok 2

calibration_wizard_title, Pomocnik kalibracji
waiting_for_initial_movements, Poczekaj na zakończenie inicjalizacji
done, Gotowe

offset_P1, Przesunięcie P1
offset_P2, Przesunięcie P2
offset_P3, Przesunięcie P3

info_title, Informacje o drukarce
change_language, Zmiana języka interfejsu
info_printeraddress, Adres IP (WiFi)
info_printeraddress_ethernet, Adres IP (Eth)
info_serialnumber, Numer seryjny:
info_swversion, Wersja oprogramowania:
info_updateavailable, Jest dostępna aktualizacja
waitForUpdate, Aktualizacja {{percentage}}%
waitForReboot, Poczekaj na ponowne uruchomienie.
info_update, Nowa wersja  
info_confirm_update, Czy na pewno zaktualizować firmware z wersji {{ from }} do {{ to }}?
info_network, Sieć:
info_language, Język

backupForLeft, Zapasowa dla lewej dyszy
presetOnFile, Ustawione w pliku
Off (0ºC), Wyłączone
Calculating..., Obliczanie...
nozzleDisconnected, Dysza odłączona
noFilesFound, Włóż dysk USB i poczekaj na załadowanie plików.

monitor_printingtime, Czas drukowania:
monitor_elapsedtime, Szacowany czas zakończenia:
monitor_pause, Pauza
monitor_paused, Zatrymany
monitor_cancel, Anuluj
monitor_printdone, Drukowanie zakończone
